Transaction_ID,Transaction_Date,Customer_ID,Product_Name,Quantity,Price,Payment_Method,Transaction_Status,Cleaned Date,Is_Return,Cleaned Quantity,Formatted Price,Cleaned Price,Revenue,Return_Flag,Return_Revenue,Year,,,
T0001,2020/10/02,C3156,Coffee Machine,469,-445.34,Credit Card,Pending,2020/10/02,FALSE,469.00,445.34,445.34,208865.41,0,0,2020,,,
T0002,2025-02-30,C2919,Tablet,-4,810.99,Credit Card,Completed,2025/03/02,TRUE,4.00,810.99,810.99,-3243.97,1,-3243.97,2025,,,
T0003,17/08/20,C3009,Tablet,-7,868.61,PayPal,Pending,2020/08/17,TRUE,7.00,868.61,868.61,-6080.26,1,-6080.26,2020,,Median Price of Headphones,495.77
T0004,2025-02-30,C3488,Coffee Machine,-10,-763.12,PayPal,Completed,2025/03/02,TRUE,10.00,763.12,763.12,-7631.22,1,-7631.22,2025,,Median Price of Laptop,540.53
T0005,26/10/21,C4241,Smartphone,598,,PayPal,Completed,2021/10/26,FALSE,598.00,,513.93,307328.99,0,0,2021,,Median Price of Coffee Machine,523.61
T0006,2025-02-30,C1313,Laptop,10,,Credit Card,Completed,2025/03/02,FALSE,10.00,,540.53,5405.28,0,0,2025,,Median Price of Tablet,506.52
T0007,2025-02-30,C2846,Laptop,-1,404.89,Credit Card,Pending,2025/03/02,TRUE,1.00,404.89,404.89,-404.89,1,-404.89,2025,,Median Price of Smartphone,513.93
T0008,2023-13-01,C1004,Laptop,10,-600.84,PayPal,Completed,2024/01/01,FALSE,10.00,600.84,600.84,6008.39,0,0,2024,,,
T0009,2023-13-01,C2912,Tablet,608,,PayPal,Completed,2024/01/01,FALSE,608.00,,506.52,307966.13,0,0,2024,,,
T0010,18/03/20,C1692,Smartphone,564,,Cash,Completed,2020/03/18,FALSE,564.00,,513.93,289855.44,0,0,2020,,,
T0011,19/06/20,C2992,Coffee Machine,696,905.51,Credit Card,Failed,2020/06/19,FALSE,696.00,905.51,905.51,630238.25,0,0,2020,,,
T0012,2025-02-30,C3879,Headphones,-2,523.84,Credit Card,Pending,2025/03/02,TRUE,2.00,523.84,523.84,-1047.69,1,-1047.69,2025,,,
T0013,2025-02-30,C2837,Laptop,-3,,Credit Card,Pending,2025/03/02,TRUE,3.00,,540.53,-1621.59,1,-1621.59,2025,,,
T0014,2020/07/07,C3776,Smartphone,236,-94.56,Credit Card,Pending,2020/07/07,FALSE,236.00,94.56,94.56,22315.51,0,0,2020,,,
T0015,2025-02-30,C847,Coffee Machine,7,-108.44,Credit Card,Completed,2025/03/02,FALSE,7.00,108.44,108.44,759.06,0,0,2025,,,
T0016,2025-02-30,C1137,Coffee Machine,856,-488.86,Credit Card,Failed,2025/03/02,FALSE,856.00,488.86,488.86,418466.43,0,0,2025,,,
T0017,2023-13-01,C3883,Smartphone,9,,Credit Card,Completed,2024/01/01,FALSE,9.00,,513.93,4625.35,0,0,2024,,,
T0018,2025-02-30,C4877,Tablet,538,-733.83,PayPal,Completed,2025/03/02,FALSE,538.00,733.83,733.83,394800.12,0,0,2025,,,
T0019,2020/01/01,C1096,Coffee Machine,654,,PayPal,Completed,2020/01/01,FALSE,654.00,,523.61,342440.76,0,0,2020,,,
T0020,2025-02-30,C2702,Coffee Machine,-5,555.61,Credit Card,Completed,2025/03/02,TRUE,5.00,555.61,555.61,-2778.07,1,-2778.07,2025,,,
T0021,2025-02-30,C3025,Smartphone,7,797.34,PayPal,Completed,2025/03/02,FALSE,7.00,797.34,797.34,5581.38,0,0,2025,,,
T0022,2025-02-30,C1345,Smartphone,-5,-295.77,PayPal,Pending,2025/03/02,TRUE,5.00,295.77,295.77,-1478.83,1,-1478.83,2025,,,
T0023,16/10/21,C3058,Headphones,5,,PayPal,Failed,2021/10/16,FALSE,5.00,,495.77,2478.86,0,0,2021,,,
T0024,17/07/24,C3672,Tablet,-5,787.99,Credit Card,Completed,2024/07/17,TRUE,5.00,787.99,787.99,-3939.97,1,-3939.97,2024,,,
T0025,2025-02-30,C1844,Coffee Machine,-3,546.78,PayPal,Failed,2025/03/02,TRUE,3.00,546.78,546.78,-1640.34,1,-1640.34,2025,,,
T0026,2025-02-30,C1406,Coffee Machine,3,-120.68,Credit Card,Completed,2025/03/02,FALSE,3.00,120.68,120.68,362.04,0,0,2025,,,
